Company_Name,Company_Age,CIBIL_Commercial_Score,GSTR_Declared_Revenue_Cr,Bank_Statement_Inflow_Cr,Litigation_Count,News_Sentiment_Score,Loan_Approved,Approved_Limit_Cr,Interest_Rate_Pct
Lad LLC,20,407,231.72,212.82,0,0.13,0,0.0,0.0
Sarna Group,9,780,337.67,343.31,0,-0.77,0,0.0,0.0
Sarna Group,25,565,308.07,290.39,0,-0.25,0,0.0,0.0
"Bora, Wadhwa and Korpal",45,583,315.61,495.82,0,0.45,0,0.0,0.0
Sekhon-Tara,46,561,488.62,449.72,1,0.83,0,0.0,0.0
Dugar LLC,28,666,133.06,131.31,0,0.28,1,16.93,9.67
Virk-Rao,20,792,50.24,47.22,0,-0.57,0,0.0,0.0
"Mannan, Sachdev and Bhat",5,598,127.54,116.38,0,-0.84,0,0.0,0.0
Shetty-Sem,48,802,420.05,445.68,0,0.23,1,89.08,8.99
Pillay PLC,27,793,188.7,204.58,0,0.79,1,39.05,9.04
"Som, Narula and Sehgal",21,744,437.49,449.56,0,0.57,1,71.33,9.28
Agarwal Group,22,811,224.74,203.25,0,0.85,1,29.4,8.95
Choudhury LLC,3,420,133.82,124.71,0,0.76,0,0.0,0.0
Dani-Wadhwa,45,602,344.14,317.33,0,0.07,1,39.41,9.99
"Subramaniam, Gola and Lal",24,452,414.92,391.36,0,-0.46,0,0.0,0.0
Kala-Dasgupta,16,396,162.71,175.84,0,0.59,0,0.0,0.0
Panchal-Sahota,23,764,175.67,174.33,0,-0.18,1,32.88,9.18
"Chand, Borra and Bhasin",47,344,86.82,78.17,0,-0.83,0,0.0,0.0
Rege-Tata,17,534,367.54,395.6,0,-0.58,0,0.0,0.0
"Dutta, Loke and Sidhu",11,505,87.63,83.14,0,0.97,0,0.0,0.0
"Sant, Dar and Bhasin",9,474,378.16,406.25,0,-0.34,0,0.0,0.0
Gupta and Sons,13,392,268.59,247.93,0,0.38,0,0.0,0.0
"Thaker, Ghose and Aurora",7,568,198.97,214.72,0,0.59,0,0.0,0.0
Brar PLC,25,550,239.76,242.67,0,0.45,0,0.0,0.0
Bhatia-Dubey,1,392,411.59,439.85,0,-0.63,0,0.0,0.0
"Bhakta, Badal and Deol",2,728,244.75,220.93,0,-0.58,0,0.0,0.0
Dube-Butala,8,833,242.23,226.81,5,-0.1,0,0.0,0.0
Memon Ltd,13,856,494.66,468.1,0,0.46,1,93.87,8.72
Khare-Kothari,4,806,187.89,170.8,1,0.68,1,28.65,10.47
Chacko-Deshpande,31,423,52.21,48.07,0,0.04,0,0.0,0.0
"Savant, Buch and Mall",39,779,261.41,242.61,0,-0.61,0,0.0,0.0
Puri PLC,28,741,454.57,263.26,0,0.26,0,0.0,0.0
Singh and Sons,42,744,359.62,343.15,0,-0.15,1,68.3,9.28
Reddy Ltd,44,694,98.02,59.68,0,0.59,0,0.0,0.0
Dutt Group,38,804,135.71,147.63,0,0.39,1,22.67,8.98
"Varty, Iyengar and Mani",36,885,332.67,353.62,0,0.4,1,64.97,8.57
Borde PLC,28,691,20.42,19.44,0,-0.92,0,0.0,0.0
Chad LLC,48,516,449.47,786.79,1,0.69,0,0.0,0.0
Dalal-Mannan,11,481,354.88,621.59,1,0.35,0,0.0,0.0
Mittal LLC,3,664,235.58,343.72,2,0.7,0,0.0,0.0
Virk-Borah,11,807,328.9,311.27,1,-0.92,0,0.0,0.0
"Patla, Bir and Goel",15,534,7.65,8.32,0,0.28,0,0.0,0.0
Dayal Ltd,19,749,355.16,567.7,2,-0.32,0,0.0,0.0
"D’Alia, Deo and Karnik",5,490,109.76,76.21,1,0.19,0,0.0,0.0
Zacharia and Sons,11,587,230.11,342.07,0,0.0,0,0.0,0.0
Ravi-Halder,41,870,350.08,360.49,0,-0.64,0,0.0,0.0
"Andra, Arya and Babu",12,705,230.31,238.04,1,0.22,1,41.02,9.47
Balasubramanian-Bhatt,12,595,402.39,439.48,0,0.15,0,0.0,0.0
Vaidya Ltd,38,737,293.68,299.13,0,-0.83,0,0.0,0.0
Mani-Vig,20,738,442.04,204.83,0,0.47,0,0.0,0.0
Loyal Ltd,24,555,402.31,442.32,5,-0.07,0,0.0,0.0
Palla-Brar,31,665,170.96,118.41,3,-0.83,0,0.0,0.0
"Bhandari, Saran and Kapadia",11,397,40.16,37.84,0,-0.67,0,0.0,0.0
"Lal, Sabharwal and Guha",37,383,486.67,511.91,1,-0.35,0,0.0,0.0
Garde-Sunder,8,392,120.09,111.2,0,-0.58,0,0.0,0.0
"Kota, Solanki and Sama",22,815,77.73,75.28,0,-0.4,1,14.07,8.93
Gara-Yadav,32,489,72.89,74.07,0,-0.02,0,0.0,0.0
"Mane, Majumdar and Khatri",17,364,232.49,223.49,0,0.45,0,0.0,0.0
"Dubey, Chaudry and Sibal",48,829,335.27,353.85,1,0.98,1,77.88,8.86
Kade PLC,20,517,101.61,101.39,1,-0.28,0,0.0,0.0
"Sehgal, Singhal and Dutt",35,347,206.37,199.28,0,0.9,0,0.0,0.0
Savant Inc,37,689,286.03,290.57,0,-0.26,1,48.09,9.55
"Bali, Bera and Murthy",38,490,287.58,269.48,1,-0.43,0,0.0,0.0
"Reddy, Bakshi and Mody",38,546,287.77,267.22,0,0.11,0,0.0,0.0
Sanghvi PLC,31,648,398.98,373.06,2,-0.5,1,47.36,9.76
Varughese LLC,13,856,435.98,461.49,0,-0.3,1,69.96,8.72
"Char, Dani and Salvi",8,408,472.61,483.0,0,0.55,0,0.0,0.0
Bahl PLC,16,301,381.41,382.4,1,-0.05,0,0.0,0.0
"Chander, Choudhary and Sarkar",43,866,325.07,307.3,0,0.25,1,52.59,8.67
"Zachariah, Varty and Khatri",9,666,84.54,76.51,1,-0.78,0,0.0,0.0
Mittal PLC,8,371,461.57,479.63,0,0.3,0,0.0,0.0
"Gola, Thaman and Mahajan",33,715,280.45,300.45,0,0.5,1,46.09,9.43
"Din, Garde and Bala",8,532,144.99,142.63,0,0.27,0,0.0,0.0
Gade-Grover,17,305,340.86,223.07,1,-0.45,0,0.0,0.0
Rout Ltd,43,357,230.53,238.74,1,-0.44,0,0.0,0.0
Halder-Dhaliwal,46,509,495.89,499.96,0,-0.67,0,0.0,0.0
Banerjee LLC,47,483,299.63,278.68,0,-0.06,0,0.0,0.0
"Sankar, Jani and Nagy",42,372,376.83,216.06,1,-0.89,0,0.0,0.0
Varghese PLC,15,462,110.16,57.65,2,0.82,0,0.0,0.0
Dhillon PLC,23,482,57.99,57.29,2,0.64,0,0.0,0.0
Bora-Varghese,21,745,245.48,226.67,1,0.26,1,39.1,9.28
Nagi-Wali,5,369,451.69,735.95,1,0.13,0,0.0,0.0
Choudhury Group,23,491,449.7,223.97,1,-0.79,0,0.0,0.0
Chawla LLC,45,610,183.96,105.87,1,0.4,0,0.0,0.0
Jha Inc,30,407,56.12,81.27,1,0.97,0,0.0,0.0
Ahluwalia Ltd,9,794,76.43,70.56,5,0.15,0,0.0,0.0
Pathak PLC,42,725,412.66,439.13,1,-0.34,1,60.46,9.38
Iyer and Sons,17,465,236.01,235.17,1,0.65,0,0.0,0.0
"Sachdev, Sha and Basu",27,568,232.27,315.73,0,0.06,0,0.0,0.0
Dhingra PLC,26,304,159.34,151.37,2,0.69,0,0.0,0.0
Bhalla Group,7,683,123.38,123.68,0,-0.54,0,0.0,0.0
"Mutti, Chakrabarti and Parmer",35,421,417.65,443.93,0,-0.29,0,0.0,0.0
"Patel, Mannan and Bora",13,427,330.79,302.35,1,-0.92,0,0.0,0.0
Dua-Nanda,45,583,261.55,381.56,0,-0.37,0,0.0,0.0
Sekhon PLC,2,882,467.48,506.41,1,0.06,1,108.06,10.09
Mann-Vora,29,722,367.09,390.91,1,-0.14,1,58.93,9.39
Kalita-Koshy,23,305,129.33,138.23,0,-0.35,0,0.0,0.0
Mane and Sons,3,405,8.16,8.94,0,0.34,0,0.0,0.0
Amble Group,6,590,473.64,678.71,0,0.21,0,0.0,0.0
Konda-Sethi,23,569,345.58,319.34,0,-0.39,0,0.0,0.0
"Srivastava, Sahota and Parmer",23,329,389.26,360.49,1,0.38,0,0.0,0.0
Prakash-Bhatt,30,674,403.46,367.34,0,0.66,1,67.35,9.63
Anne Group,7,802,135.94,179.16,0,-0.16,0,0.0,0.0
"Jhaveri, Hayre and Vasa",18,782,19.18,19.5,0,0.18,1,3.22,9.09
Thakur-Kapadia,39,773,141.24,147.16,0,-0.9,0,0.0,0.0
"Sampath, Gour and Sood",12,440,417.02,194.87,3,-0.81,0,0.0,0.0
Tank-Dua,28,474,435.99,399.67,0,-0.12,0,0.0,0.0
Zacharia Group,3,527,348.43,352.11,2,0.09,0,0.0,0.0
Babu-Soni,25,463,206.82,191.33,0,0.61,0,0.0,0.0
"Venkataraman, Modi and Sahota",43,520,175.68,169.96,0,0.75,0,0.0,0.0
Menon Ltd,15,740,74.85,75.53,0,-0.84,0,0.0,0.0
Sheth-Palla,4,599,45.21,81.12,1,0.32,0,0.0,0.0
Bhargava-Bumb,21,488,320.76,351.88,0,0.33,0,0.0,0.0
Bhagat PLC,32,443,324.21,293.31,0,0.21,0,0.0,0.0
"Kari, Bassi and Date",47,605,130.52,129.76,1,0.58,1,18.34,9.97
Gokhale-Nigam,4,407,35.2,33.71,0,0.78,0,0.0,0.0
Devan-Borra,2,615,5.67,5.53,3,-0.35,0,0.0,0.0
Kannan-Chada,41,673,113.26,49.75,0,0.47,0,0.0,0.0
Sachar-Goyal,34,459,241.87,262.62,0,-0.48,0,0.0,0.0
Bhatt and Sons,20,338,317.53,312.86,0,0.93,0,0.0,0.0
Radhakrishnan LLC,29,826,445.74,452.59,0,0.2,1,76.47,8.87
"Balakrishnan, Bhatia and Tank",12,449,75.92,79.18,2,0.58,0,0.0,0.0
"Chaudhuri, Modi and Patla",33,463,309.17,314.19,2,-0.35,0,0.0,0.0
"Thakur, Chahal and Mall",14,695,165.15,170.6,0,0.66,1,31.86,9.53
Chatterjee-Nagarajan,34,408,447.66,217.78,0,-0.35,0,0.0,0.0
Reddy-Khare,28,382,78.37,50.52,2,0.11,0,0.0,0.0
Sane Group,25,807,116.74,114.17,1,0.95,1,19.5,8.96
Kumar-Srinivasan,26,827,497.81,506.05,0,0.35,1,101.47,8.87
"Nigam, Uppal and Karpe",29,411,70.94,72.82,1,0.51,0,0.0,0.0
Grewal-Bhardwaj,4,542,252.48,264.11,0,-0.11,0,0.0,0.0
Choudhry Ltd,45,342,102.14,94.49,0,0.08,0,0.0,0.0
Khalsa-Murthy,20,739,33.23,30.61,0,0.64,1,3.87,9.3
"Bhat, Dugal and Sastry",43,574,346.21,170.45,1,0.17,0,0.0,0.0
Varughese-Sane,47,675,41.95,45.37,0,0.88,1,6.91,9.62
Bhatia-Dyal,24,568,384.43,399.97,1,-0.09,0,0.0,0.0
Sidhu PLC,11,647,467.69,744.69,0,-0.88,0,0.0,0.0
Jani and Sons,19,463,87.2,79.55,3,0.75,0,0.0,0.0
"Basu, Kapadia and Dhaliwal",46,516,210.34,205.6,0,0.63,0,0.0,0.0
Krishnan-Choudhry,42,818,326.14,355.79,0,-0.2,1,59.44,8.91
Goyal Inc,1,487,85.52,89.53,0,0.74,0,0.0,0.0
Lad-Dugar,35,819,176.01,186.68,2,-0.21,1,30.52,8.9
"Dyal, Vyas and Balakrishnan",16,654,79.97,107.18,1,0.17,0,0.0,0.0
Mukhopadhyay PLC,4,841,44.69,44.48,0,0.88,1,6.75,10.29
Kapoor Group,26,898,166.21,162.69,0,0.99,1,24.52,8.51
"Sarma, Walla and Toor",42,332,78.82,46.14,0,-0.55,0,0.0,0.0
Bhasin LLC,43,416,222.73,229.14,2,-0.23,0,0.0,0.0
Raj-Tara,37,485,224.08,203.84,0,0.6,0,0.0,0.0
Gara-Ramakrishnan,22,749,413.84,424.72,3,0.08,0,0.0,0.0
Nazareth-Vyas,28,523,114.14,117.01,0,0.53,0,0.0,0.0
"Ranganathan, Sehgal and Gera",32,742,117.25,121.15,0,-0.6,0,0.0,0.0
Nadkarni Inc,15,334,30.32,29.7,1,-0.71,0,0.0,0.0
Sankaran PLC,4,896,17.78,17.97,0,-0.77,0,0.0,0.0
Issac-Venkataraman,7,314,390.02,415.16,0,0.18,0,0.0,0.0
Virk Group,8,668,43.21,40.36,0,-0.28,1,7.46,9.66
"Khanna, Jaggi and Loke",47,726,28.25,30.67,0,-0.89,0,0.0,0.0
"De, Parikh and Sama",27,410,209.77,275.03,0,0.94,0,0.0,0.0
Sood-Hayer,6,731,61.8,61.68,0,0.18,1,8.08,9.35
Lall and Sons,47,887,41.0,69.34,0,0.75,0,0.0,0.0
Trivedi LLC,45,727,247.49,253.96,0,0.62,1,36.36,9.37
Saxena Inc,33,839,403.06,432.6,0,0.1,1,76.73,8.8
"Sandal, Sharma and Jain",23,609,34.29,35.2,1,0.14,1,4.61,9.96
Rajan Ltd,21,788,108.12,104.99,0,0.19,1,19.08,9.06
Dora PLC,33,612,103.41,48.33,0,-0.05,0,0.0,0.0
"Chaudhuri, Sachdev and Johal",48,639,351.17,339.27,0,-0.74,0,0.0,0.0
"Kalla, Srinivasan and Atwal",49,642,162.07,175.42,0,-0.17,1,30.13,9.79
Chaudhuri-Parikh,38,374,294.49,320.49,0,0.1,0,0.0,0.0
Kale Inc,24,334,448.8,421.54,2,0.19,0,0.0,0.0
Ramaswamy-Choudhry,19,324,376.18,407.26,0,-0.51,0,0.0,0.0
Balay and Sons,34,644,279.79,284.71,0,-0.66,0,0.0,0.0
Ramesh LLC,30,573,145.23,142.33,0,0.6,0,0.0,0.0
Sachdeva Group,4,508,14.97,13.93,0,0.36,0,0.0,0.0
Varkey-Devi,13,629,108.16,100.22,0,-1.0,0,0.0,0.0
Raghavan-Vora,37,808,17.19,25.41,0,0.02,0,0.0,0.0
"Baria, Jani and Bhavsar",23,786,46.44,45.38,0,-0.34,1,6.16,9.07
Grover-Tailor,45,429,482.78,475.85,0,-0.59,0,0.0,0.0
"Patla, Kota and Chaudhary",20,491,319.85,499.51,1,0.65,0,0.0,0.0
Bhalla PLC,15,516,165.25,174.01,0,0.58,0,0.0,0.0
"Yogi, Sankaran and Srivastava",16,410,137.37,145.95,0,0.85,0,0.0,0.0
Arya Ltd,7,454,393.62,265.12,0,-0.89,0,0.0,0.0
Bhatnagar-Bir,46,451,119.48,113.35,0,-0.11,0,0.0,0.0
Raman Inc,48,320,342.91,324.78,1,0.61,0,0.0,0.0
Baria-Sunder,45,490,45.57,46.91,2,0.92,0,0.0,0.0
Zacharia-Rastogi,16,529,48.64,45.67,0,0.16,0,0.0,0.0
Morar-Sen,17,731,415.21,254.45,0,0.39,0,0.0,0.0
"Shere, Kashyap and Venkataraman",31,394,440.24,190.97,0,0.92,0,0.0,0.0
Oak-Varty,15,861,317.53,302.96,1,-0.21,1,47.51,8.7
Deo-Gola,30,300,32.8,31.2,0,-0.93,0,0.0,0.0
Agrawal-Devi,25,849,36.25,19.65,0,-0.06,0,0.0,0.0
Purohit-Mahal,22,590,448.05,479.7,0,0.86,0,0.0,0.0
Soman-Lalla,39,781,374.45,360.34,0,0.14,1,61.87,9.1
Kapoor Group,42,564,279.14,279.86,1,0.75,0,0.0,0.0
Vala-Balay,7,396,354.25,340.63,1,-0.53,0,0.0,0.0
Behl PLC,36,881,58.47,55.34,0,-0.1,1,12.13,8.6
Keer-Puri,43,594,408.46,439.29,0,-0.92,0,0.0,0.0
Kumar Inc,7,547,163.76,79.23,0,0.73,0,0.0,0.0
Murthy-Patel,29,773,176.06,91.74,0,0.66,0,0.0,0.0
Bali-Goel,38,364,475.94,441.39,0,-0.55,0,0.0,0.0
Kamdar Inc,30,833,488.86,303.69,0,0.42,0,0.0,0.0
"Palla, Savant and Thakkar",17,593,163.6,152.62,0,-0.86,0,0.0,0.0
"Mahajan, Nigam and Mani",35,413,99.11,132.7,0,0.72,0,0.0,0.0
Sharaf-Sastry,44,360,244.01,229.97,0,0.61,0,0.0,0.0
Pathak PLC,7,626,254.34,273.59,0,0.4,1,32.24,9.87
Varghese Group,17,784,415.76,428.63,0,0.59,1,64.24,9.08
Bhargava LLC,33,578,475.66,448.06,0,0.71,0,0.0,0.0
Pal and Sons,27,484,354.45,354.71,0,-0.04,0,0.0,0.0
"Varma, Bera and Bhakta",35,378,316.14,324.57,1,0.39,0,0.0,0.0
"Ravel, Kar and Agrawal",43,300,283.12,191.92,0,0.1,0,0.0,0.0
Om Group,17,396,102.36,96.99,0,-0.27,0,0.0,0.0
Chanda Group,27,583,106.02,105.36,2,-0.31,0,0.0,0.0
Raj PLC,23,743,17.55,18.22,0,-0.23,1,2.38,9.29
Soman-Din,40,665,152.5,139.99,0,-0.38,1,25.09,9.68
Comar LLC,48,393,106.87,112.03,0,-0.61,0,0.0,0.0
Ramesh LLC,48,400,301.69,283.66,0,0.17,0,0.0,0.0
"Wagle, Chakraborty and Nagarajan",47,406,31.98,17.58,0,-0.03,0,0.0,0.0
"Amble, Baral and Mane",26,453,134.57,187.75,0,-0.4,0,0.0,0.0
Hayre-Chad,12,476,159.53,273.83,1,0.2,0,0.0,0.0
Gaba LLC,46,601,274.57,249.37,0,-0.23,1,34.69,10.0
"Thaker, Bakshi and Aurora",39,433,319.2,299.18,0,0.5,0,0.0,0.0
Kapoor-Muni,45,874,57.53,29.84,0,0.92,0,0.0,0.0
Gopal Inc,33,889,129.83,128.45,0,0.95,1,22.11,8.55
Rajan PLC,23,636,420.35,424.61,1,0.54,1,74.28,9.82
"Ranganathan, Kumer and Khurana",16,638,174.11,179.28,0,0.63,1,26.65,9.81
Mand LLC,40,370,279.97,284.67,0,0.36,0,0.0,0.0
Bhardwaj Group,15,491,414.7,434.59,0,0.04,0,0.0,0.0
Dayal-Jani,8,448,419.08,436.21,0,0.39,0,0.0,0.0
Sanghvi LLC,38,663,50.89,51.22,1,-0.04,1,5.88,9.69
Madan-Edwin,42,696,355.18,370.22,0,0.44,1,48.21,9.52
Shanker Ltd,11,746,17.26,16.39,1,0.63,1,2.39,9.27
Warrior-Ray,36,776,195.85,128.63,0,-0.86,0,0.0,0.0
Khurana-Joshi,20,515,196.98,121.62,0,0.7,0,0.0,0.0
Ramanathan-Buch,6,350,371.63,370.52,0,-0.53,0,0.0,0.0
Gaba and Sons,24,742,392.59,412.23,0,0.66,1,63.83,9.29
Balay Inc,42,324,64.01,58.08,0,-0.12,0,0.0,0.0
Chahal PLC,21,557,134.89,132.78,0,-0.34,0,0.0,0.0
Om Ltd,24,883,57.78,97.26,5,0.73,0,0.0,0.0
Datta LLC,47,824,351.93,336.81,1,-0.44,1,56.06,8.88
Kala and Sons,24,845,32.83,32.74,0,-0.31,1,7.23,8.78
Sur LLC,12,407,482.02,470.16,3,0.15,0,0.0,0.0
Deep-Kamdar,16,450,292.95,308.56,2,0.25,0,0.0,0.0
"Ramakrishnan, Venkataraman and Kar",46,477,423.26,421.26,0,-0.69,0,0.0,0.0
"Devi, Gola and Kibe",6,876,108.47,112.72,0,-0.11,1,25.75,8.62
Wable-Zacharia,13,443,174.22,191.15,0,-0.24,0,0.0,0.0
Karan-Sura,48,652,47.92,32.3,0,0.87,0,0.0,0.0
"Hora, Sane and Kamdar",13,664,339.93,330.64,1,0.53,1,59.26,9.68
Sathe-Toor,10,676,121.62,117.01,3,0.84,0,0.0,0.0
"Cherian, Dixit and Swamy",16,580,205.55,121.0,1,0.09,0,0.0,0.0
"Bhattacharyya, Badami and Modi",34,404,298.56,297.92,2,-0.54,0,0.0,0.0
"Mannan, Rajagopalan and Bail",34,812,88.17,85.61,2,-0.7,0,0.0,0.0
"Sundaram, Andra and Kumer",49,745,334.05,328.66,0,0.38,1,58.8,9.28
Shere-Dutt,31,538,187.28,290.47,1,0.16,0,0.0,0.0
Bhargava-Ram,47,760,432.86,646.27,0,-0.83,0,0.0,0.0
Handa Inc,49,887,277.11,183.81,0,-0.89,0,0.0,0.0
Pillai-Thakkar,28,827,258.74,247.92,0,-0.74,0,0.0,0.0
Kothari PLC,36,767,391.12,388.9,3,-0.31,0,0.0,0.0
Gopal PLC,10,341,167.97,152.94,1,0.04,0,0.0,0.0
Srinivasan Inc,1,377,96.23,87.36,0,0.21,0,0.0,0.0
Chakraborty-Saha,38,470,18.42,7.43,0,0.07,0,0.0,0.0
Bath and Sons,44,565,257.28,397.16,0,0.86,0,0.0,0.0
"Banerjee, Kar and Nayak",20,785,142.95,156.07,0,-0.19,1,34.02,9.07
"Yogi, Thakur and Puri",3,725,291.38,267.05,0,-0.37,1,34.14,10.88
Dhingra Inc,21,483,483.45,766.47,0,0.62,0,0.0,0.0
"Karpe, Bansal and Kamdar",19,803,50.21,46.81,0,-0.1,1,9.16,8.98
Choudhry-Ghose,17,722,434.25,473.84,0,-0.74,0,0.0,0.0
"Bhatt, Lanka and Lata",30,503,423.28,385.95,0,0.34,0,0.0,0.0
"Rama, Cheema and Varughese",18,828,426.66,453.73,0,-0.94,0,0.0,0.0
"Shankar, Gupta and Cheema",35,510,172.3,179.38,0,-0.63,0,0.0,0.0
Nagarajan and Sons,39,445,423.17,259.02,0,-0.1,0,0.0,0.0
Bhatti-Ramesh,31,461,189.16,101.65,0,0.93,0,0.0,0.0
"Baria, Kota and Ganesh",35,893,127.58,123.7,0,0.05,1,26.85,8.54
"Bajwa, Buch and Som",23,703,119.01,109.64,0,0.9,1,18.94,9.48
"Sane, Hans and Kumar",42,657,383.11,384.19,1,-0.19,1,42.14,9.71
Taneja-Khare,39,418,8.84,8.83,0,0.63,0,0.0,0.0
Aggarwal-Magar,37,715,112.71,104.45,0,0.24,1,16.97,9.43
"Puri, Chaudry and Goswami",4,437,148.42,140.67,0,-0.27,0,0.0,0.0
Sani and Sons,24,785,488.35,532.76,0,-0.47,1,93.21,9.07
"Pant, Sem and Jhaveri",40,760,429.87,459.52,0,0.4,1,58.59,9.2
"Dhar, Mangat and Mukhopadhyay",2,647,348.22,366.76,0,0.45,1,57.82,11.27
Bala LLC,39,312,116.45,120.23,1,0.14,0,0.0,0.0
"Luthra, Nanda and Cheema",45,846,239.85,231.88,0,0.04,1,33.81,8.77
"Kala, Bala and Balay",11,536,248.54,239.11,0,-0.07,0,0.0,0.0
Krish Ltd,7,850,464.23,498.37,1,0.54,1,75.97,8.75
"Sachdev, Shenoy and Agarwal",49,883,290.79,299.3,0,-0.84,0,0.0,0.0
Kothari Inc,30,778,151.79,144.66,0,0.17,1,24.87,9.11
Contractor and Sons,2,649,335.13,319.52,1,0.29,1,41.84,11.25
"Boase, Khosla and Dhaliwal",45,427,225.2,99.1,3,-0.09,0,0.0,0.0
"Das, Sachdev and Saran",48,650,288.23,313.15,0,0.58,1,47.56,9.75
Raman-Narain,11,396,499.11,456.68,0,-0.82,0,0.0,0.0
"Prabhakar, Bawa and Datta",47,637,440.27,441.52,1,0.18,1,53.52,9.81
Wali-Mand,2,509,36.8,37.48,1,0.89,0,0.0,0.0
Krishna-Varma,12,801,466.08,451.0,1,0.5,1,88.29,8.99
Dube-Maharaj,44,325,161.26,149.17,2,0.78,0,0.0,0.0
Loke-Muni,16,610,249.52,267.95,0,0.88,1,33.63,9.95
"Sabharwal, Randhawa and Basak",33,498,100.28,92.3,0,0.69,0,0.0,0.0
"Kibe, Goel and Swamy",31,797,174.49,176.11,0,-0.62,0,0.0,0.0
Rama-Samra,37,641,474.16,464.35,0,1.0,1,67.51,9.79
Tripathi-Acharya,27,515,483.45,477.72,0,0.79,0,0.0,0.0
Jayaraman LLC,42,582,348.46,334.93,0,-0.31,0,0.0,0.0
Mane-Saran,3,305,291.48,184.93,0,0.5,0,0.0,0.0
"Dhar, Das and Jain",39,835,146.64,150.76,0,-0.67,0,0.0,0.0
Narayanan-Borah,46,630,112.78,115.51,2,0.95,1,13.93,9.85
"Yadav, Warrior and Warrior",40,315,378.09,359.44,1,-0.01,0,0.0,0.0
Sathe-Balasubramanian,4,598,464.37,832.14,0,0.67,0,0.0,0.0
Ranganathan-Barman,39,558,133.19,143.28,0,-0.55,0,0.0,0.0
Sengupta and Sons,20,797,343.57,322.28,1,-0.33,1,59.21,9.02
"Sule, Dhaliwal and Palan",16,894,398.81,370.21,0,-0.67,0,0.0,0.0
"Shetty, Dugal and Hegde",36,480,86.64,80.14,0,-0.96,0,0.0,0.0
Lal Inc,29,896,218.34,218.8,0,-0.99,0,0.0,0.0
Pillay-Thaker,14,358,344.4,325.55,0,0.71,0,0.0,0.0
"Merchant, Dayal and Nanda",18,687,317.16,312.73,3,0.88,0,0.0,0.0
Khosla-Sabharwal,17,368,438.0,458.8,2,0.27,0,0.0,0.0
Contractor Group,14,442,161.28,170.68,0,0.8,0,0.0,0.0
Zacharia PLC,11,569,490.0,526.12,2,-0.65,0,0.0,0.0
Chowdhury-Walia,48,612,109.66,195.49,0,0.59,0,0.0,0.0
Mann PLC,5,856,482.35,449.91,1,-0.24,1,67.97,10.22
Sha and Sons,26,685,490.78,678.88,1,-0.44,0,0.0,0.0
Rajagopal Group,41,471,64.59,43.83,0,0.42,0,0.0,0.0
Suri-Lal,43,682,183.8,188.85,10,-0.05,0,0.0,0.0
Parsa-Khanna,24,864,175.66,171.81,0,0.82,1,27.29,8.68
Sehgal and Sons,36,857,323.64,309.21,0,0.76,1,72.4,8.71
Deshpande LLC,20,787,432.58,424.51,0,0.17,1,72.59,9.06
"Dora, Bhattacharyya and Jha",42,712,214.23,223.57,1,0.18,1,30.26,9.44
Rastogi-Bora,5,405,315.88,165.74,0,-0.1,0,0.0,0.0
Ramakrishnan Inc,43,317,106.11,108.8,0,0.13,0,0.0,0.0
Palla PLC,49,857,452.7,407.5,0,-0.56,0,0.0,0.0
Saini-Kadakia,6,449,234.28,159.42,0,-0.7,0,0.0,0.0
Pingle LLC,25,532,94.91,39.41,3,0.87,0,0.0,0.0
Wason LLC,35,430,46.69,51.21,0,0.93,0,0.0,0.0
Sibal Ltd,12,432,482.42,462.1,0,-0.8,0,0.0,0.0
Toor-Bhavsar,41,429,17.21,26.96,1,0.69,0,0.0,0.0
"Bhasin, Buch and Goda",48,650,120.99,109.37,0,-0.99,0,0.0,0.0
Malhotra-Mishra,38,842,413.59,384.36,0,0.25,1,65.05,8.79
Korpal Ltd,9,898,71.34,65.86,0,-0.84,0,0.0,0.0
Choudhry PLC,17,678,48.27,52.48,1,0.7,1,7.07,9.61
Borah-Gole,11,368,29.68,27.6,0,0.92,0,0.0,0.0
Sachdev LLC,31,822,75.82,68.45,1,-0.97,0,0.0,0.0
Sachdeva-Parikh,45,640,232.48,232.43,1,-0.03,1,27.26,9.8
Kunda and Sons,33,812,90.33,124.53,0,-0.85,0,0.0,0.0
Chaudhari-Baria,22,504,20.51,18.95,1,0.73,0,0.0,0.0
Sundaram-Malhotra,24,511,275.39,144.69,0,-0.82,0,0.0,0.0
Brar PLC,24,471,68.81,71.84,1,-0.53,0,0.0,0.0
Bansal-Cherian,5,513,163.43,172.03,0,-0.42,0,0.0,0.0
"Yogi, Mittal and Natt",35,773,351.67,151.83,3,0.03,0,0.0,0.0
Chauhan-Badal,17,485,270.17,264.45,0,0.69,0,0.0,0.0
"Ahuja, Wason and Batra",39,787,204.74,197.91,1,-0.03,1,31.74,9.06
"Narayanan, Anne and Dada",4,501,387.72,357.19,0,0.38,0,0.0,0.0
Vohra PLC,35,315,278.1,270.12,0,-0.51,0,0.0,0.0
Oommen PLC,24,582,380.96,358.56,1,-0.32,0,0.0,0.0
"Dewan, Palan and Rama",1,400,106.46,111.61,2,-0.29,0,0.0,0.0
"Balasubramanian, Agarwal and Bhagat",31,614,453.43,419.57,0,0.89,1,70.89,9.93
"Bora, Ghose and Sani",25,486,462.03,466.17,5,-0.47,0,0.0,0.0
Dasgupta Inc,42,385,30.75,12.34,1,0.02,0,0.0,0.0
